FieldName,Order,Description,Category,acsNames,type
fam_u18M,21,Familes with Children,Families,fam_u18,MoE
fam_nmryE,22,Non-Traditional Families with Children,Families,fam_nmry,Estimate
fam_nmryM,22,Non-Traditional Families with Children,Families,fam_nmry,MoE
fam_nmryP,22,Non-Traditional Families with Children,Families,fam_nmry,Percent
mhiE,23,Median Household Income,Households,mhi,Estimate
mhiM,23,Median Household Income,Households,mhi,MoE
thhE,24,Total Households,Households,thh,Estimate
thhM,24,Total Households,Households,thh,MoE
oohhE,25,Owner-Occupied Households,Households,oohh,Estimate
oohhM,25,Owner-Occupied Households,Households,oohh,MoE
oohhP,25,Owner-Occupied Households,Households,oohh,Percent
rohhE,26,Renter-Occupied Households,Households,rohh,Estimate
rohhM,26,Renter-Occupied Households,Households,rohh,MoE
rohhP,26,Renter-Occupied Households,Households,rohh,Percent
lan_engE,27,Language Spoken at Home (Only English),Households,lan_eng,Estimate
lan_engM,27,Language Spoken at Home (Only English),Households,lan_eng,MoE
lan_engP,27,Language Spoken at Home (Only English),Households,lan_eng,Percent
pop_bpE,28,Population Below Poverty,Poverty,pop_bp,Estimate
pop_bpM,28,Population Below Poverty,Poverty,pop_bp,MoE
pop_bpP,28,Population Below Poverty,Poverty,pop_bp,Percent
bp_u18E,29,Children Below Poverty,Poverty,bp_u18,Estimate
bp_u18M,29,Children Below Poverty,Poverty,bp_u18,MoE
bp_u18P,29,Children Below Poverty,Poverty,bp_u18,Percent
asnbp_u18E,30,Asian Children Below Poverty,Poverty,asnbp_u18,Estimate
asnbp_u18M,30,Asian Children Below Poverty,Poverty,asnbp_u18,MoE
asnbp_u18P,30,Asian Children Below Poverty,Poverty,asnbp_u18,Percent
blkbp_u18E,31,Black Children Below Poverty,Poverty,blkbp_u18,Estimate
blkbp_u18M,31,Black Children Below Poverty,Poverty,blkbp_u18,MoE
blkbp_u18P,31,Black Children Below Poverty,Poverty,blkbp_u18,Percent
hisbp_u18E,32,Hispanic Children Below Poverty,Poverty,hisbp_u18,Estimate
hisbp_u18M,32,Hispanic Children Below Poverty,Poverty,hisbp_u18,MoE
hisbp_u18P,32,Hispanic Children Below Poverty,Poverty,hisbp_u18,Percent
whtbp_u18E,33,White (Non-His) Children Below Poverty,Poverty,whtbp_u18,Estimate
whtbp_u18M,33,White (Non-His) Children Below Poverty,Poverty,whtbp_u18,MoE
whtbp_u18P,33,White (Non-His) Children Below Poverty,Poverty,whtbp_u18,Percent
wom_repE,34,Women of Reproductive Age,Women,wom_rep,Estimate
wom_repM,34,Women of Reproductive Age,Women,wom_rep,MoE
wom_birE,35,Recent Births by Women,Women,wom_bir,Estimate
wom_birM,35,Recent Births by Women,Women,wom_bir,MoE
wom_birP,35,Recent Births by Women,Women,wom_bir,Percent
teen_girlE,36,Teen Girls (15 to 19),Women,teen_girl,Estimate
